brand,perfume_name,top_note,middle_note,base_note,mood
Chanel,N°5 Eau de Parfum,"레몬, 일랑일랑, 베르가못, 
파우더리 머스크","장미, 자스민, 백합, 
파우더리 머스크, 베티버","앰버, 샌달우드, 바닐라, 풀잎, 베티버, 패출리, 오리엔탈","고급스러움, 차분, 섹시, 클래식, 우아"
Chanel,N°5 L'Eau,"레몬, 오렌지, 베르가못, 
오렌지, 파우더리 머스크","일랑일랑, 자스민, 로즈","화이트 머스크, 바닐라, 
시더우드, 베티버","깔끔, 순수, 편안, 상쾌"
Chanel,코코 마드모아젤 빠르펭,"베르가못, 오렌지, 자몽","장미, 베리, 자스민","파출리, 바닐라, 화이트 머스크, 
베티버","세련, 화려, 섹시, 매혹적, 트랜디"
Chanel,블루 드 샤넬,"자몽, 레몬, 풀잎, 스파이스","자스민, 스파이스, 시더우드","베티버, 시더우드, 샌달우드, 파출리, 화이트 머스크, 
인센스, 레진","세련, 고급스러움, 카리스마 있는, 묵직, 신뢰감 주는"
Chanel,샹스 오 땅드르,"자몽, 배","자스민, 백합","화이트 머스크, 시더우드, 앰버, 파우더리 머스크","로맨틱, 우아, 부드러움, 청순"
Dior,미스 디올 블루밍 부케,오렌지,"백합, 장미, 복숭아",화이트 머스크,"사랑스러움, 화사, 섬세, 생기"
Dior,소바쥬,"베르가못, 스파이스","스파이스, 자스민, 장미, 
레진, 패출리","시더우드, 레진, 화이트 머스크","강렬, 세련, 야성미, 섹시"
Dior,쟈도르,"배, 베리, 백합, 복숭아, 오렌지, 베르가못","자스민, 백합, 장미, 백합, 베리, 파우더리 머스크","화이트 머스크, 바닐라, 시더우드, 베리","관능적, 고급스러움, 섹시, 우아"
Dior,디올 옴므,"라벤더, 베르가못, 풀잎","화이트 머스크, 초콜릿, 앰버","레더, 베티버, 파출리","클래식, 낄끔, 지적, 섹시"
입생로랑,몽 파리 루미에르,"레몬, 워터","장미, 자스민","화이트 머스크, 파출리","투명, 화사, 설렘"
입생로랑,몽 파리 인텐스,"베리, 배, 오렌지, 베르가못","장미, 백힙, 자스민","바닐라, 파출리, 화이트 머스크, 레진, 소프트 머스크","달콤, 진함, 정열적, 매혹적"
입생로랑,리브르,"자스민, 오렌지, 베리, 풀잎","자스민, 백합","시더우드,화이트 머스크, 바닐라","당당, 젠더리스, 카리스마"
입생로랑,와이 오 드 뚜왈렛,"베르가못, 파우더리 머스크, 스파이스","자스민, 풀잎, 장미","바닐라, 시더우드, 화이트 머스크, 인센스","청량, 젊음, 에너제틱"
구찌,구찌 블룸,자스민,자스민,백합,"풍성한 꽃 향기, 빈티지, 서정적"
구찌,구찌 길티,"오렌지, 베르가못, 스파이스","피치, 장미, 자스민, 백합, 베리","파출리, 앰버, 화이트 머스크, 바닐라","도발적, 대담, 화려"
프라다,프라다 파라독스,"배, 오렌지, 베르가못","백합, 베르가못, 자스민","바닐라, 앰버, 화이트 마스크, 레진","입체적, 현대적, 화사, 달콤"
프라다,프라다 라 팜므,"베르가못, 백합, 패출리","일랑일랑, 로즈, 자스민, 파우더리 머스크","바닐라, 베티버, 앰버","단아, 깨끗, 고급스러움, 차분, 정돈됨, 우아"
톰포드,로스트 체리,"초콜릿, 베리","베리, 자스민, 장미","바닐라, 샌달우드, 시더우드, 파출리, 베티버, 스파이스, 레진","관능적, 달콤, 대담, 매혹적"
톰포드,화이트 스웨이드,풀잎,"백합, 장미, 스파이스","머스크, 샌달우드, 앰버, 파우더리 머스크, 인센스","포근, 부드러움, 세련, 우아"
톰포드,오드 우드,"우드, 스파이스","샌달 우드, 베티버","바닐라, 앰버","묵직, 신비, 깊이 감, 정중"
톰포드,토바코 바닐,"인센스, 스파이스","바닐라, 초콜릿, 인센스","우드, 베리","따뜻, 퇴폐, 압도적, 섹시"
